Masa,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,6.2
50,1.5,1.8,2.1,2.4,2.8,3.1,3.5,3.8,4.2,4.6,5.0,5.4,5.8,6.2,6.7,7.1,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.1,12.6,13.2
100,1.6,1.9,2.3,2.6,3.0,3.4,3.8,4.2,4.6,5.0,5.4,5.9,6.3,6.8,7.3,7.7,8.2,8.7,9.3,9.8,10.3,10.9,11.4,12.0,12.6,13.2,13.8,14.4
150,1.7,2.1,2.5,2.9,3.3,3.7,4.1,4.5,5.0,5.4,5.9,6.4,6.8,7.3,7.9,8.4,8.9,9.5,10.0,10.6,11.2,11.8,12.4,13.0,13.6,14.3,14.9,15.6
200,1.9,2.3,2.7,3.1,3.5,3.9,4.4,4.9,5.3,5.8,6.3,6.8,7.4,7.9,8.5,9.0,9.6,10.2,10.8,11.4,12.0,12.7,13.3,14.0,14.7,15.4,16.1,16.8
250,2.0,2.4,2.9,3.3,3.8,4.2,4.7,5.2,5.7,6.2,6.8,7.3,7.9,8.5,9.1,9.7,10.3,10.9,11.6,12.2,12.9,13.6,14.3,15.0,15.7,16.5,17.2,18.0
300,2.1,2.6,3.0,3.5,4.0,4.5,5.0,5.6,6.1,6.7,7.2,7.8,8.4,9.0,9.7,10.3,11.0,11.7,12.3,13.0,13.8,14.5,15.2,16.0,16.8,17.6,18.4,19.2
350,2.3,2.8,3.2,3.7,4.3,4.8,5.3,5.9,6.5,7.1,7.7,8.3,9.0,9.6,10.3,11.0,11.7,12.4,13.1,13.9,14.6,15.4,16.2,17.0,17.8,18.7,19.5,20.4
400,2.4,2.9,3.4,4.0,4.5,5.1,5.7,6.3,6.9,7.5,8.1,8.8,9.5,10.2,10.9,11.6,12.4,13.1,13.9,14.7,15.5,16.3,17.1,18.0,18.9,19.8,20.7,21.6
450,2.5,3.1,3.6,4.2,4.8,5.4,6.0,6.6,7.2,7.9,8.6,9.3,10.0,10.7,11.5,12.3,13.0,13.8,14.7,15.5,16.3,17.2,18.1,19.0,19.9,20.9,21.8,22.8
500,2.7,3.2,3.8,4.4,5.0,5.6,6.3,6.9,7.6,8.3,9.0,9.8,10.5,11.3,12.1,12.9,13.7,14.6,15.4,16.3,17.2,18.1,19.1,20.0,21.0,22.0,23.0,24.0
550,2.8,3.4,4.0,4.6,5.3,5.9,6.6,7.3,8.0,8.7,9.5,10.3,11.1,11.9,12.7,13.5,14.4,15.3,16.2,17.1,18.1,19.0,20.0,21.0,22.0,23.1,24.1,25.2
600,2.9,3.6,4.2,4.8,5.5,6.2,6.9,7.6,8.4,9.2,10.0,10.8,11.6,12.4,13.3,14.2,15.1,16.0,17.0,17.9,18.9,19.9,21.0,22.0,23.1,24.1,25.3,26.4
650,3.1,3.7,4.4,5.1,5.8,6.5,7.2,8.0,8.8,9.6,10.4,11.3,12.1,13.0,13.9,14.8,15.8,16.8,17.7,18.8,19.8,20.8,21.9,23.0,24.1,25.2,26.4,27.6
700,3.2,3.9,4.6,5.3,6.0,6.8,7.5,8.3,9.2,10.0,10.9,11.7,12.6,13.6,14.5,15.5,16.5,17.5,18.5,19.6,20.6,21.7,22.9,24.0,25.2,26.3,27.5,28.8
750,3.4,4.0,4.8,5.5,6.3,7.1,7.9,8.7,9.5,10.4,11.3,12.2,13.2,14.1,15.1,16.1,17.2,18.2,19.3,20.4,21.5,22.6,23.8,25.0,26.2,27.4,28.7,30.0
800,3.5,4.2,5.0,5.7,6.5,7.3,8.2,9.0,9.9,10.8,11.8,12.7,13.7,14.7,15.7,16.8,17.8,18.9,20.1,21.2,22.4,23.6,24.8,26.0,27.3,28.5,29.8,31.2
850,3.6,4.4,5.1,5.9,6.8,7.6,8.5,9.4,10.3,11.2,12.2,13.2,14.2,15.3,16.3,17.4,18.5,19.7,20.8,22.0,23.2,24.5,25.7,27.0,28.3,29.6,31.0,32.4
900,3.8,4.5,5.3,6.2,7.0,7.9,8.8,9.7,10.7,11.7,12.7,13.7,14.8,15.8,16.9,18.1,19.2,20.4,21.6,22.8,24.1,25.4,26.7,28.0,29.4,30.7,32.1,33.6
950,3.9,4.7,5.5,6.4,7.3,8.2,9.1,10.1,11.1,12.1,13.1,14.2,15.3,16.4,17.5,18.7,19.9,21.1,22.4,23.6,24.9,26.3,27.6,29.0,30.4,31.8,33.3,34.8
1000,4.0,4.9,5.7,6.6,7.5,8.5,9.4,10.4,11.4,12.5,13.6,14.7,15.8,17.0,18.1,19.4,20.6,21.9,23.1,24.5,25.8,27.2,28.6,30.0,31.5,32.9,34.4,36.0
1200,4.6,5.5,6.5,7.5,8.5,9.6,10.7,11.8,13.0,14.2,15.4,16.6,17.9,19.2,20.6,21.9,23.3,24.8,26.2,27.7,29.2,30.8,32.4,34.0,35.6,37.3,39.0,40.8
1400,5.1,6.1,7.2,8.4,9.5,10.7,11.9,13.2,14.5,15.8,17.2,18.6,20.0,21.5,23.0,24.5,26.1,27.7,29.3,31.0,32.7,34.4,36.2,38.0,39.8,41.7,43.6,45.6
1600,5.6,6.8,8.0,9.2,10.5,11.8,13.2,14.6,16.0,17.5,19.0,20.5,22.1,23.7,25.4,27.1,28.8,30.6,32.4,34.2,36.1,38.0,40.0,42.0,44.0,46.1,48.2,50.4
1800,6.0,7.3,8.6,9.9,11.3,12.7,14.1,15.6,17.2,18.7,20.4,22.0,23.7,25.4,27.2,29.0,30.9,32.8,34.7,36.7,38.7,40.8,42.9,45.0,47.2,49.4,51.7,54.0
2000,6.4,7.8,9.1,10.6,12.0,13.5,15.1,16.7,18.3,20.0,21.7,23.5,25.3,27.1,29.0,31.0,32.9,35.0,37.0,39.1,41.3,43.5,45.7,48.0,50.3,52.7,55.1,57.5
2200,6.8,8.2,9.6,11.1,12.7,14.2,15.9,17.5,19.3,21.0,22.8,24.7,26.6,28.6,30.5,32.6,34.7,36.8,39.0,41.2,43.4,45.7,48.1,50.5,52.9,55.4,58.0,60.5
2400,7.1,8.5,10.1,11.6,13.2,14.9,16.6,18.3,20.1,22.0,23.9,25.8,27.8,29.9,31.9,34.1,36.2,38.5,40.7,43.1,45.4,47.8,50.3,52.8,55.4,58.0,60.6,63.3
2599+,7.4,8.9,10.5,12.1,13.8,15.5,17.3,19.1,21.0,22.9,24.9,26.9,29.0,31.1,33.3,35.5,37.7,40.1,42.4,44.8,47.3,49.8,52.4,55.0,57.7,60.4,63.1,65.9
2600,8.7,10.5,12.4,14.3,16.3,18.3,20.4,22.6,24.8,27.1,29.4,31.8,34.2,36.7,39.3,41.9,44.6,47.4,50.1,53.0,55.9,58.9,61.9,65.0,68.1,71.3,74.6,77.9
2800,9.2,11.2,13.1,15.2,17.3,19.5,21.7,24.0,26.3,28.7,31.2,33.8,36.3,39.0,41.7,44.5,47.4,50.3,53.2,56.3,59.4,62.5,65.7,69.0,72.3,75.7,79.2,82.7
3000,9.8,11.8,13.9,16.1,18.3,20.6,22.9,25.4,27.9,30.4,33.0,35.7,38.5,41.3,44.1,47.1,50.1,53.2,56.3,59.5,62.8,66.1,69.5,73.0,76.5,80.1,83.8,87.5
3200,10.3,12.5,14.7,17.0,19.3,21.7,24.2,26.8,29.4,32.1,34.8,37.7,40.6,43.5,46.6,49.7,52.8,56.1,59.4,62.8,66.2,69.8,73.3,77.0,80.7,84.5,88.4,92.3
3400,10.8,13.1,15.4,17.8,20.3,22.8,25.4,28.1,30.8,33.7,36.6,39.5,42.6,45.7,48.9,52.1,55.5,58.9,62.3,65.9,69.5,73.2,77.0,80.8,84.7,88.7,92.7,96.9
3600,11.4,13.7,16.2,18.7,21.3,23.9,26.7,29.5,32.4,35.3,38.4,41.5,44.7,47.9,51.3,54.7,58.2,61.8,65.4,69.1,72.9,76.8,80.8,84.8,88.9,93.1,97.3,101.7
3800,11.9,14.3,16.9,19.5,22.2,25.0,27.8,30.8,33.8,36.9,40.0,43.3,46.6,50.0,53.5,57.1,60.7,64.5,68.3,72.2,76.1,80.2,84.3,88.5,92.8,97.1,101.6,106.1
4000,12.3,14.9,17.5,20.3,23.1,25.9,28.9,32.0,35.1,38.3,41.6,45.0,48.5,52.0,55.6,59.4,63.1,67.0,71.0,75.0,79.1,83.3,87.6,92.0,96.5,101.0,105.6,110.3
4200,12.8,15.5,18.2,21.0,23.9,26.9,30.0,33.2,36.4,39.8,43.2,46.7,50.3,54.0,57.8,61.6,65.5,69.6,73.7,77.9,82.2,86.5,91.0,95.5,100.1,104.8,109.6,114.5
4400,13.2,15.9,18.8,21.7,24.7,27.8,31.0,34.2,37.6,41.0,44.6,48.2,51.9,55.7,59.6,63.5,67.6,71.8,76.0,80.3,84.7,89.2,93.8,98.5,103.3,108.1,113.1,118.1
4600,13.6,16.4,19.3,22.3,25.4,28.6,31.9,35.3,38.7,42.3,45.9,49.6,53.5,57.4,61.4,65.5,69.7,73.9,78.3,82.8,87.3,92.0,96.7,101.5,106.4,111.4,116.5,121.7
4800,14.1,17.0,20.0,23.1,26.3,29.6,33.0,36.5,40.1,43.7,47.5,51.4,55.3,59.4,63.5,67.7,72.1,76.5,81.0,85.6,90.3,95.1,100.0,105.0,110.1,115.3,120.5,125.9
5000,14.5,17.5,20.6,23.8,27.1,30.5,33.9,37.5,41.2,45.0,48.9,52.8,56.9,61.1,65.3,69.7,74.1,78.7,83.3,88.1,92.9,97.8,102.9,108.0,113.2,118.5,124.0,129.5
5500,15.4,18.6,21.9,25.3,28.8,32.4,36.1,40.0,43.9,47.9,52.0,56.3,60.6,65.0,69.6,74.2,78.9,83.8,88.7,93.8,98.9,104.2,109.5,115.0,120.6,126.2,132.0,137.9
6000,16.4,19.7,23.2,26.9,30.6,34.4,38.3,42.4,46.6,50.8,55.2,59.7,64.3,69.0,73.8,78.7,83.7,88.9,94.1,99.5,104.9,110.5,116.2,122.0,127.9,133.9,140.0,146.3
6500,17.3,20.9,24.6,28.4,32.3,36.4,40.5,44.8,49.2,53.7,58.4,63.1,68.0,72.9,78.0,83.2,88.5,94.0,99.5,105.2,111.0,116.9,122.9,129.0,135.2,141.6,148.1,154.7
7000,18.2,22.0,25.9,29.9,34.1,38.4,42.7,47.3,51.9,56.6,61.5,66.5,71.6,76.9,82.3,87.7,93.3,99.1,104.9,110.9,117.0,123.2,129.5,136.0,142.6,149.3,156.1,163.1
7499,19.2,23.1,27.2,31.5,35.8,40.3,44.9,49.7,54.6,59.6,64.7,69.9,75.3,80.8,86.5,92.3,98.1,104.2,110.3,116.6,123.0,129.5,136.2,143.0,149.9,157.0,164.1,171.4
7500,22.8,27.5,32.4,37.4,42.6,47.9,53.4,59.1,64.9,70.8,76.9,83.2,89.6,96.1,102.8,109.7,116.7,123.8,131.2,138.6,146.2,154.0,161.9,170.0,178.2,186.6,195.1,203.8
8000,24.1,29.1,34.3,39.6,45.1,50.8,56.6,62.5,68.7,75.0,81.4,88.0,94.8,101.8,108.9,116.1,123.5,131.1,138.9,146.8,154.8,163.1,171.5,180.0,188.7,197.6,206.6,215.8
8500,25.5,30.7,36.2,41.8,47.6,53.6,59.7,66.0,72.5,79.1,86.0,92.9,100.1,107.4,114.9,122.6,130.4,138.4,146.6,154.9,163.4,172.1,181.0,190.0,199.2,208.6,218.1,227.8
9000,26.5,32.0,37.7,43.6,49.6,55.8,62.2,68.8,75.5,82.5,89.6,96.9,104.3,111.9,119.7,127.7,135.9,144.2,152.8,161.5,170.3,179.4,188.6,198.0,207.6,217.3,227.3,237.4
9500,27.5,33.2,39.1,45.1,51.4,57.8,64.4,71.2,78.2,85.4,92.7,100.3,108.0,115.9,124.0,132.3,140.7,149.3,158.2,167.2,176.3,185.7,195.3,205.0,214.9,225.0,235.3,245.8
10000,28.3,34.1,40.2,46.4,52.9,59.5,66.3,73.3,80.5,87.9,95.5,103.2,111.2,119.3,127.6,136.1,144.8,153.7,162.8,172.1,181.5,191.1,201.0,211.0,221.2,231.6,242.2,253.0
11000,29.8,35.9,42.3,48.9,55.6,62.6,69.8,77.1,84.7,92.5,100.4,108.6,117.0,125.5,134.3,143.2,152.4,161.7,171.3,181.0,191.0,201.1,211.5,222.0,232.7,243.7,254.8,266.2
12000,30.8,37.2,43.8,50.6,57.6,64.9,72.3,79.9,87.8,95.8,104.1,112.5,121.2,130.0,139.1,148.4,157.9,167.5,177.4,187.5,197.8,208.4,219.1,230.0,241.1,252.5,264.0,275.7